,text,environmental,action
79,"our principal executive offices are located at 10003 woodloch forest drive, the woodlands, texas 77380, and our telephone number at that location is  719-6000.",environmental,none
83,"we are a leading global producer in many of our key product lines, including mdi, amines, surfactants, maleic anhydride, epoxy-based polymer formulations, textile chemicals, dyes, titanium dioxide and color pigments.",environmental,none
99,", zaber & zubair pigments and additives   titanium dioxide, functional additives, color pigments, timber treatment and water treatment chemicals   paints and coatings, plastics, paper, printing inks, ceramics, pharmaceuticals, food, cosmetics, wood protection and water purity   akzonobel, basf, clariant, jotun, polyone, ppg for additional information about our business segments, including related financial information, see note 25.",environmental,none
121,mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
166,    mtbe is an oxygenate that is blended with gasoline to reduce harmful vehicle emissions and to enhance the octane rating of gasoline.,environmental,none
299,carbonates.,environmental,none
300,    ethylene and propylene carbonates are manufactured by reacting eo and po with carbon dioxide.,environmental,none
302,"they are also increasingly being used as a photo-resist solvent in the manufacture of printed circuit boards, solar panels, lcd screens and the production of lithium batteries.",environmental,none
312,"our maleic anhydride technology is a proprietary fixed bed process with solvent recovery and is characterized by low butane consumption and an energy-efficient, high-percentage solvent recovery system.",environmental,none
373,"in addition to internally produced raw materials, the main raw materials used in the production of our amines are ethylene dichloride, caustic soda, ammonia, hydrogen, methylamines and acrylonitrile.",environmental,none
423,"our materials address requirements such as long open times for large area applications, fast-curing adhesives for early removal and rapid through-put, resistance to high temperature, water and chemicals, thixotropy for gap-filling or vertical applications, and toughness, impact-resistance and elasticity to cope with different thermal expansions when bonding larger structures.",environmental,none
485,"pretreatment and dyeing auxiliaries ensure that these fabrics are processed efficiently and effectively—cleaning the fabrics with fewer chemicals, less energy and less water and thereby minimizing the environmental footprint and reducing the processing costs.",environmental,action
494,"process competence—applying know-how and expertise to improve customers' processes—allows us to utilize our technical service to reduce cost, enhance efficiency and offer recommendations to improve the ecological and environmental footprint in the wet processing of textiles.",environmental,action
516,"on october 1, 2014, we completed the acquisition of the performance additives and titanium dioxide businesses of rockwood holdings, inc.",environmental,none
530,"on february 12, 2015, we announced a plan to close the 'black end' manufacturing operations and ancillary activities at our calais, france site, which reduced our titanium dioxide capacity by approximately 100 kilotons, or 13% of our european titanium dioxide capacity.",environmental,action
537,we remain committed to a separation of our titanium dioxide business and we are actively exploring additional possibilities outside of an initial public offering or a spin-off.,environmental,action
541,products and markets titanium dioxide.,environmental,none
543,"titanium dioxide is derived from titanium bearing ores and is a white inert pigment that provides whiteness, opacity and brightness to thousands of everyday items including paints, plastics, paper, inks, fibers, food and personal care products.",environmental,none
548,"global titanium dioxide demand growth rates tend to closely track gdp growth rates; however, this varies by region.",environmental,none
559,our company is one of the five major producers of titanium dioxide in the world.,environmental,none
560,"beyond these producers, the titanium dioxide industry currently has a large number of small regional or local producers, particularly in china.",environmental,none
561,"titanium dioxide supply has historically kept pace with increases in demand as producers increased capacity through low cost incremental debottlenecks, efficiency improvements and, more recently, new capacity additions in china.",environmental,action
562,"during periods of low titanium dioxide demand, the industry experiences high stock levels and consequently reduces production to manage working capital.",environmental,none
594,    we manufacture timber treatment wood protection chemicals used primarily in residential and commercial applications to prolong the service life of wood through protection from decay and fungal or insect attack.,environmental,none
601,"    we manufacture water treatment chemicals in germany used to improve water purity in industrial, commercial and municipal applications.",environmental,none
603,main markets are municipal and industrial waste water treatment and the paper industry.,environmental,none
604,"sales and marketing approximately 85% of our titanium dioxide sales are made through our global sales and technical services network, enabling us to work closely with our customers.",environmental,action
614,"    annual capacity product area   eame   north america   apac   total titanium dioxide   672,000   75,000   60,000   807,000 functional additives   100,000           100,000 color pigments   85,000   55,000   20,000   160,000 timber treatment       140,000       140,000 water treatment   140,000           140,000 production capacities of our ten titanium dioxide and functional additives manufacturing facilities are listed below.",environmental,none
615,approximately 80% of our titanium dioxide capacity is located in western europe.,environmental,none
636,"    titanium dioxide   functional additives   color pigments   timber treatment   water chemicals primary raw materials   titanium bearing ore, sulfuric acid   barium and zinc based inorganics   iron oxide particles, scrap iron, coppers   dcoit, copper, monoethanolamine   aluminum oxide in recent years, we have purchased the majority of our ores under supply contracts from a range of ore suppliers.",environmental,none
638,"ore accounts for approximately 45% of titanium dioxide variable manufacturing costs, while utilities, sulfuric acid and chlorine collectively account for approximately 30% of variable manufacturing costs.",environmental,none
642,titanium dioxide producers extract titanium from ores and process it into pigmentary titanium dioxide using either the chloride or sulfate process.,environmental,none
645,co-products from both processes require treatment prior to disposal in order to comply with environmental regulations.,environmental,none
712,"30 table of contents environmental, health and safety matters general we are subject to extensive federal, state, local and international laws, regulations, rules and ordinances relating to safety, pollution, protection of the environment, product management and distribution, and the generation, storage, handling, transportation, treatment, disposal and remediation of hazardous substances and waste materials.",environmental,none
713,"in the ordinary course of business, we are subject to frequent environmental inspections and monitoring and occasional investigations by governmental enforcement authorities.",environmental,none
715,"actual or alleged violations of safety laws, environmental laws or permit requirements could result in restrictions or prohibitions on plant operations or product distribution, substantial civil or criminal sanctions, as well as, under some environmental laws, the assessment of strict liability and/or joint and several liability.",environmental,none
716,"moreover, changes in environmental regulations could inhibit or interrupt our operations, or require us to modify our facilities or operations.",environmental,none
717,"accordingly, environmental or regulatory matters may cause us to incur significant unanticipated losses, costs or liabilities.",environmental,none
718,"information related to environmental, health and safety matters may also be found in other areas of this report including —item 1a.",environmental,none
720,summary of significant accounting policies—environmental expenditures to our consolidated financial statements and note 20.,environmental,none
721,environmental health and safety matters to our consolidated financial statements.,environmental,none
722,"environmental, health and safety systems we are committed to achieving and maintaining compliance with all applicable ehs legal requirements, and we have developed policies and management systems that are intended to identify the multitude of ehs legal requirements applicable to our operations, enhance compliance with applicable legal requirements, improve the safety of our employees, contractors, community neighbors and customers and minimize the production and emission of wastes and other pollutants.",environmental,action
724,"environmental remediation we have incurred, and we may in the future incur, liability to investigate and clean up waste or contamination at our current or former facilities or facilities operated by third parties at which we may have disposed of waste or other materials.",environmental,none
725,"similarly, we may incur costs for the cleanup of waste that was disposed of prior to the purchase of our businesses.",environmental,none
726,"under some circumstances, the scope of our liability may extend to damages to natural resources.",environmental,none
733,"regulatory matters greenhouse gas regulation and climate change globally, our operations are increasingly subject to regulations that seek to reduce emissions of greenhouse gases, such as carbon dioxide and methane, which may be contributing to changes in the earth's climate.",environmental,none
734,"at the durban negotiations of the conference of the parties to the kyoto protocol in 2012, a limited group of nations, including the european union, agreed to a second commitment period for the kyoto protocol, an international treaty that provides for reductions in ghg emissions.",environmental,action
735,"more significantly, the european union ghg emissions trading system, established pursuant to the kyoto protocol to reduce ghg emissions in the european union, continues in its third phase.",environmental,action
736,the european union parliament continues with a process to formalized backloading—the withholding of ghg allowances to prop up carbon prices.,environmental,action
739,"in addition, the european union has recently announced the binding target to reduce domestic greenhouse gas emissions by at least 40% below the 1990 level by 2030.",environmental,action
740,the european commission proposed an objective of increasing the share of renewable energy to at least 27% of the european union's energy consumption by 2030.,environmental,action
742,the european commission also proposed a 30% energy savings target for 2030.,environmental,action
744,federal climate change legislation in the u.,environmental,none
747,"as a result, domestic efforts to curb ghg emissions will continue to be led by the u.",environmental,none
749,environmental protection agency's ghg regulations and the efforts of states.,environmental,none
751,significant expansions of our existing facilities or construction of new facilities may be subject to the clean air act's prevention of significant deterioration requirements under the epa's ghg tailoring rule.,environmental,none
752,"some of our facilities are also subject to the epa's mandatory reporting of greenhouse gases rule, and any further regulation may increase our operational costs.",environmental,none
753,"under a consent decree with states and environmental groups, the epa is due to propose new source performance standards for ghg emissions from refineries.",environmental,none
756,"32 table of contents we are already managing and reporting ghg emissions, to varying degrees, as required by law for our sites in locations subject to kyoto protocol obligations and/or ets requirements.",environmental,action
757,"although these sites are subject to existing ghg legislation, few have experienced or anticipate significant cost increases as a result of these programs, although it is possible that ghg emission restrictions may increase over time.",environmental,none
758,"potential consequences of such restrictions include capital requirements to modify assets to meet ghg emission restrictions and/or increases in energy costs above the level of general inflation, as well as direct compliance costs.",environmental,none
760,"finally, it should be noted that some scientists have concluded that increasing concentrations of ghgs in the earth's atmosphere may produce climate changes that have significant physical effects, such as increased frequency and severity of storms, droughts, and floods and other climatic events.",environmental,none
786,"in particular, global prices for titanium dioxide declined throughout 2015 and have remained low in the first quarter of 2016, primarily as a result of oversupply in the market.",environmental,none
797,"gulf coast, which is subject to hurricanes.",environmental,none
799,"in addition, we rely on a number of vendors suppliers and collaborations with other industry participants to provide us with chemicals, feedstocks and other raw materials, along with energy sources and, in certain cases, facilities, that we need to operate our business.",environmental,none
804,"while we maintain business recovery plans that are intended to allow us to recover from natural disasters or other events that could disrupt our business, we cannot provide assurances that our plans would fully protect us from the effects of all such disasters or from events that might increase in frequency or intensity due to climate change.",environmental,none
805,"in addition, insurance may not adequately compensate us for any losses incurred as a result of natural or other disasters.",environmental,none
806,"in areas prone to frequent natural or other disasters, insurance may become increasingly expensive or not available at all.",environmental,none
807,"furthermore, some potential climate-driven losses, particularly inundation due to sea-level rise, may pose long-term risks to our physical facilities such that operations cannot be restored in their current locations.",environmental,none
884,"we remain committed to complete the separation of our titanium dioxide business, and are actively exploring divestment alternatives that may be completed.",environmental,action
886,"we cannot assure you that we will be able to complete the separation of our titanium dioxide business in a timely fashion, if at all.",environmental,none
921,"these hazards include: chemical spills, pipeline leaks and ruptures, storage tank leaks, discharges or releases of toxic or hazardous substances or gases and other hazards incident to the manufacturing, processing, handling, transportation and storage of dangerous chemicals.",environmental,none
922,"we are also potentially subject to other hazards, including natural disasters and severe weather; explosions and fires; transportation problems, including interruptions, spills and leaks; mechanical failures; unscheduled downtimes; labor difficulties; remediation complications; and other risks.",environmental,none
924,"many potential hazards can cause bodily injury and loss of life, severe damage to or destruction of property and equipment and environmental damage, and may result in suspension of operations and the imposition of civil or criminal penalties and liabilities.",environmental,none
926,"we maintain property, business interruption, products liability and casualty insurance policies which we believe are in accordance with customary industry practices, as well as insurance policies covering other types of risks, including pollution legal liability insurance, but we are not fully insured against all potential hazards and risks incident to our business.",environmental,none
934,"we are subject to many environmental, health and safety regulations that may result in unanticipated costs or liabilities, which could reduce our profitability.",environmental,none
935,"we are subject to extensive federal, state, local and foreign laws, regulations, rules and ordinances relating to pollution, protection of the environment and human health and safety, and the generation, storage, handling, transportation, treatment, disposal and remediation of hazardous substances and waste materials.",environmental,none
936,"actual or alleged violations of environmental, health and safety, or ehs, laws or permit requirements could result in restrictions or prohibitions on plant operations and substantial civil or criminal sanctions, as well as, under some ehs laws, the assessment of strict liability and/or joint and several liability.",environmental,none
945,"furthermore, governmental, regulatory and societal demands for increasing levels of product safety and environmental protection could result in increased pressure for more stringent regulatory control with respect to the chemical industry.",environmental,none
948,"accordingly, environmental or regulatory matters may cause us to incur significant unanticipated losses, costs or liabilities, which could reduce our profitability.",environmental,none
949,"for example, our operations are increasingly subject to regulations that seek to reduce emissions of greenhouse gases, or ghgs, such as carbon dioxide and methane, which may be contributing to changes in the earth's climate.",environmental,none
950,"there are existing efforts to address ghg emissions at the international, national, and regional levels.",environmental,action
951,"the 2015 paris climate summit agreement resulted in voluntary commitments by numerous countries to reduce their ghg emissions, and could result in additional firm commitments by various nations with respect to future ghg emissions.",environmental,action
952,the european union regulates ghgs under the eu emissions trading scheme.,environmental,none
953,china has begun pilot programs for carbon taxes and trading of ghg emissions in selected areas.,environmental,action
954,"in august 2015, the epa issued its final clean power plan rules that establish carbon pollution standards for power plants, called co2 emission performance rates.",environmental,action
956,"collectively, these rules and agreements may affect the long term price and supply of electricity and natural gas and demand for products that contribute to energy efficiency and renewable energy.",environmental,none
957,"these various regulations and agreements are likely to result in increased costs to purchased energy, additional capital costs for installation or modification of ghg emitting equipment, and additional costs associated directly with ghg emissions, which are primarily related to energy use.",environmental,none
959,"in addition, some scientists have concluded that increasing concentrations of ghgs in the earth's atmosphere may produce climate changes increase the frequency and severity of storms, droughts, floods and other climatic events.",environmental,none
964,"furthermore, we may be liable for the costs of investigating and cleaning up environmental contamination on or from our properties or at off-site locations where we disposed of or arranged for the disposal or treatment of hazardous materials or from disposal activities that pre-dated our purchase of our businesses.",environmental,none
967,"we face risks arising from various legal actions, including matters relating to antitrust, product liability, intellectual property and environmental claims.",environmental,none
992,"conflicts, military actions, terrorist attacks and general instability, particularly in certain energy-producing nations, along with increased security regulations related to our industry, could adversely affect our business.",environmental,none
1006,"we produce mtbe, an oxygenate that is blended with gasoline to reduce vehicle air emissions and to enhance the octane rating of gasoline.",environmental,action
1007,"because of the allegations that mtbe has contaminated some water supplies, its use has become controversial in the u.",environmental,none
1042,"our principal executive offices are located at 10003 woodloch forest drive, the woodlands, texas 77380.",environmental,none
1084,environmental health and safety matters—port neches flaring matter to our consolidated financial statements.,environmental,none
1208,"gerrard, age 56, is senior vice president, environmental, health & safety and manufacturing excellence.",environmental,none
1211,he also serves as our corporate sustainability officer.,environmental,none
1421,"we are a leading global producer in many of our key product lines, including mdi, amines, surfactants, maleic anhydride, epoxy-based polymer formulations, textile chemicals, dyes, titanium dioxide and color pigments.",environmental,none
1442,"historically, demand for titanium dioxide pigments and additives has grown at rates approximately equal to gdp growth.",environmental,none
1444,"the industry experiences some seasonality in its sales because sales of paints, the largest end use for titanium dioxide, generally peak during the spring and summer months in the northern hemisphere.",environmental,none
1449,"outlook we expect our cyclical businesses, particularly mtbe, ethylene and titanium dioxide, to continue to negatively impact our profitability in 2016.",environmental,none
1749,04 billion for rockwood's performance additives and titanium dioxide businesses and during 2013 we paid $66 million for the acquisition of businesses.,environmental,none
1855,"in addition, we have announced a capacity reduction at our titanium dioxide manufacturing facility in calais, france expected to generate approximately $35 million of annual savings.",environmental,action
1861,"environmental, health and safety matters as noted above in part i.",environmental,none
1863,"business—environmental, health and safety matters and part i.",environmental,none
1864,"item 1a, risk factors, we are subject to extensive environmental regulations, which may impose significant additional costs on our operations in the future.",environmental,none
1866,"for a discussion of environmental, health and safety matters, see note 20.",environmental,none
1867,"environmental, health and safety matters to our consolidated financial statements.",environmental,none
1957,"estimates for plant closing costs include the write-off of the carrying value of the plant, any necessary environmental and/or regulatory costs, contract termination and demolition costs.",environmental,none
1962,contingent loss accruals environmental remediation costs for our facilities are accrued when it is probable that a liability has been incurred and the amount can be reasonably estimated.,environmental,none
1963,"estimates of environmental reserves require evaluating government regulation, available technology, site-specific information and remediation alternatives.",environmental,none
1965,the extent of environmental impacts may not be fully known and the processes and costs of remediation may change as new information is obtained or technology for remediation is improved.,environmental,none
1966,"our process for estimating the expected cost for remediation considers the information available, technology that can be utilized and estimates of the extent of environmental damage.",environmental,none
1969,"environmental, health and safety matters to our consolidated financial statements.",environmental,none
2204, 2 to the u.,environmental,none
2381,"we are a leading global producer in many of our key product lines, including mdi, amines, surfactants, maleic anhydride, epoxy-based polymer formulations, textile chemicals, dyes, titanium dioxide and color pigments.",environmental,none
2394,2.,environmental,none
2420,environmental expenditures environmental related restoration and remediation costs are recorded as liabilities when site restoration and environmental remediation and clean-up obligations are either known or considered probable and the related costs can be reasonably estimated.,environmental,none
2423,"environmental, health and safety matters.",environmental,none
2601,"business combinations rockwood acquisition on october 1, 2014, we completed the acquisition of the performance additives and titanium dioxide businesses of rockwood holdings, inc.",environmental,none
2607,"in connection with securing certain regulatory approvals required to complete the rockwood acquisition, we sold our tio2 tr52 product line used in printing inks to henan in december 2014.",environmental,action
2702,"on february 12, 2015, we announced a plan to close the 'black end' manufacturing operations and ancillary activities at our calais, france site, which will reduce our titanium dioxide capacity by approximately 100 kilotons, or 13% of our european titanium dioxide capacity.",environmental,action
2726,"on february 12, 2015, we announced plans to reduce our titanium dioxide capacity by approximately 100 kilotons by closing specific operations at our calais, france facility, subject to consultation with employees and appropriate representative groups.",environmental,action
3396,district court for the district of maryland alleging that we and our co-defendants and other alleged co-conspirators conspired to fix prices of titanium dioxide sold in the u.,environmental,none
3402,"customers who purchased titanium dioxide directly from the defendants since february 1, 2003.",environmental,none
3416,district court for the northern district of california by the purchasers of products made from titanium dioxide making essentially the same allegations as did the direct purchasers.,environmental,none
3417,"on october 14, 2014, plaintiffs filed their second amended class action complaint narrowing the class of plaintiffs to those merchants and consumers of architectural coatings containing titanium dioxide.",environmental,none
3449,"f-76 table of contents other proceedings we are a party to various other proceedings instituted by private plaintiffs, governmental authorities and others arising under provisions of applicable laws, including various environmental, products liability and other laws.",environmental,none
3452,"environmental, health and safety matters ehs capital expenditures we may incur future costs for capital improvements and general compliance under ehs laws, including costs to acquire, maintain and repair pollution control equipment.",environmental,none
3455,"environmental reserves we have accrued liabilities relating to anticipated environmental cleanup obligations, site reclamation and closure costs and known penalties.",environmental,none
3458,the environmental liabilities do not include amounts recorded as asset retirement obligations.,environmental,none
3459,"we had accrued $38 million and $60 million for environmental liabilities as of december 31, 2015 and 2014, respectively.",environmental,none
3462,"we may incur losses for environmental remediation in excess of the amounts accrued; however, we are not able to estimate the amount or range of such potential excess.",environmental,none
3463,"environmental matters under the comprehensive environmental response, compensation, and liability act and similar state laws, a current or former owner or operator of real property in the u.",environmental,none
3465,"may be liable for remediation costs regardless of whether the release or disposal of hazardous substances was in compliance with law at the time it occurred, and a current owner or operator may be liable regardless of whether it owned or operated the facility at the time of the release.",environmental,none
3473,f-77 table of contents under the resource conservation and recovery act in the u.,environmental,none
3475,"and similar state laws, we may be required to remediate contamination originating from our properties as a condition to our hazardous waste permit.",environmental,none
3476,"some of our manufacturing sites have an extended history of industrial chemical manufacturing and use, including on-site waste disposal.",environmental,none
3477,"we are aware of soil, groundwater or surface contamination from past operations at some of our sites, and we may find contamination at other sites in the future.",environmental,none
3480,"west footscray remediation by letter dated march 7, 2006, our former base chemicals and polymers facility in west footscray, australia was issued a cleanup notice by the environmental protection authority victoria due to concerns about soil and groundwater contamination emanating from the site.",environmental,none
3482,"as of december 31, 2015, we had an accrued liability of approximately $17 million related to estimated environmental remediation costs at this site.",environmental,none
3487,forest service notified us that we are a cercla prp for contamination originating from the site.,environmental,none
3494,"specifically, the epa alleged violations at our port neches, texas facility from 2007-2012 for flare operations not consistent with good pollution control practice and not in compliance with certain flare-related regulations.",environmental,none
3497,we have been engaged in discussions with the doj and the epa regarding these alleged violations and conducted field trials on an alternate flare monitoring method beginning in september 2014.,environmental,action
3797, 2 to the u.,environmental,none
3941,"other noncurrent liabilities other noncurrent liabilities consisted of the following : huntsman corporation     december 31,       2015   2014   pension liabilities   $ 842   $ 965   other postretirement benefits     84     134   environmental accruals     32     53   restructuring and plant closing costs     51     49   employee benefit accrual     36     39   asset retirement obligations     34     26   other     147     181   ​ ​ ​ ​ ​ ​ ​ ​ total   $ 1,226   $ 1,447   ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​",environmental,none
3993,"uction products, gas treatment, metalworking specialty amines   liquid soaps, personal care, lubricant and fuel additives, polyurethane foams, fabric softeners, paints and coatings, refinery processing, water treating morpholine/dga® agent   hydrocarbon processing, construction chemicals, synthetic rubber, water treating, electronics applications, gas treatment, agriculture maleic anhydride   boat hulls, automotive, construction, lubricant and fuel additives, countertops, agrochemicals, paper, and food addi",environmental,none
4001,"e to unanticipated liabilities, including unexpected environmental exposures, product liability or illegal activities conducted by an acquired company or a joint venture partner.",environmental,none
4010,nium dioxide business and are actively exploring additional possibilities outside of an initial public offering or a spin-off.,environmental,action
4024,ommission.,environmental,none
4040,"ngs and colorants; • timber treatment wood protection chemicals used primarily in residential and commercial applications; • water treatment products used to improve water purity in industrial, commercial and municipal applications; and • specialty automotive molded components.",environmental,none
4053," ​ ​ ​ ​ ​ ​ f-41 table of contents huntsman international     december 31,       2015   2014   pension liabilities   $ 842   $ 965   other postretirement benefits     84     134   environmental accruals     32     53   restructuring and plant closing costs     51     49   employee benefit accrual     36     39   asset retirement obligations     34     26   other     145     177   ​ ​ ​ ​ ​ ​ ​ ​ total   $ 1,224   $ 1,443   ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ ​ 14.",environmental,none
